날짜,시도지역코드,발생건수(건)
2014-02-08,42,12706
2014-02-08,43,18211
2014-02-08,44,25132
2014-02-08,45,19999
2014-02-08,46,18740
2014-02-08,47,26780
2014-02-08,48,32855
2014-02-08,49,5727
2014-02-08,99,573175
2014-02-09,11,12486
2014-02-09,26,5130
2014-02-09,27,4257
2014-02-09,28,6266
2014-02-09,29,3487
2014-02-09,30,5811
2014-02-09,31,3124
2014-02-09,41,30540
2014-02-09,42,2036
2014-02-09,43,5172
2014-02-09,44,5738
2014-02-09,45,4238
2014-02-09,46,5421
2014-02-09,47,4625
2014-02-09,48,5771
2014-02-09,49,2406
2014-02-09,99,106554
2014-02-10,11,169835
2014-02-10,26,49869
2014-02-10,27,43199
2014-02-10,28,53642
2014-02-10,29,22713
2014-02-10,30,29562
2014-02-10,31,14079
2014-02-10,41,221963
2014-02-10,42,20079
2014-02-10,43,27346
2014-02-10,44,39926
2014-02-10,45,32722
2014-02-10,46,30026
2014-02-10,47,40391
2014-02-10,48,51661
2014-02-10,49,8721
2014-02-10,99,856046
2014-02-11,11,112013
2014-02-11,26,36047
2014-02-11,27,29311
2014-02-11,28,35766
2014-02-11,29,16059
2014-02-11,30,20843
2014-02-11,31,12429
2014-02-11,41,152793
2014-02-11,42,15241
2014-02-11,43,20155
2014-02-11,44,28078
2014-02-11,45,22939
2014-02-11,46,21386
2014-02-11,47,30199
2014-02-11,48,36505
2014-02-11,49,6582
2014-02-11,99,596561
2014-02-12,11,111732
2014-02-12,26,37095
2014-02-12,27,29417
2014-02-12,28,36179
2014-02-12,29,15693
2014-02-12,30,20808
2014-02-12,31,12826
2014-02-12,41,149342
2014-02-12,42,15551
2014-02-12,43,19528
2014-02-12,44,26914
2014-02-12,45,22420
2014-02-12,46,21037
2014-02-12,47,29723
2014-02-12,48,36335
2014-02-12,49,6193
2014-02-12,99,590994
2014-02-13,11,110051
2014-02-13,26,36988
2014-02-13,27,30154
2014-02-13,28,35718
2014-02-13,29,16143
2014-02-13,30,21051
2014-02-13,31,11810
2014-02-13,41,152116
2014-02-13,42,13731
2014-02-13,43,19873
2014-02-13,44,28564
2014-02-13,45,22948
2014-02-13,46,21577
2014-02-13,47,29500
2014-02-13,48,36985
2014-02-13,49,6429
2014-02-13,99,593872
2014-02-14,11,116479
2014-02-14,26,38576
2014-02-14,27,30929
2014-02-14,28,37301
2014-02-14,29,16632
2014-02-14,30,21540
2014-02-14,31,12432
2014-02-14,41,156922
2014-02-14,42,15130
2014-02-14,43,20313
2014-02-14,44,29206
2014-02-14,45,24065
2014-02-14,46,21997
2014-02-14,47,30510
2014-02-14,48,37866
2014-02-14,49,6898
2014-02-14,99,617043
2014-02-15,11,105211
2014-02-15,26,36361
2014-02-15,27,29515
2014-02-15,28,35136
2014-02-15,29,16116
2014-02-15,30,21061
2014-02-15,31,11941
2014-02-15,41,148018
2014-02-15,42,12990
2014-02-15,43,19374
2014-02-15,44,25586
2014-02-15,45,20396
2014-02-15,46,19539
2014-02-15,47,27312
2014-02-15,48,35382
2014-02-15,49,5620
2014-02-15,99,569786
2014-02-16,11,13425
2014-02-16,26,6694
2014-02-16,27,4570
2014-02-16,28,7777
2014-02-16,29,3768
2014-02-16,30,5671
2014-02-16,31,2982
2014-02-16,41,33000
2014-02-16,42,2286
2014-02-16,43,5259
2014-02-16,44,6013
2014-02-16,45,4511
2014-02-16,46,6140
2014-02-16,47,5065
2014-02-16,48,7225
2014-02-16,49,2282
2014-02-16,99,116714
2014-02-17,11,165068
2014-02-17,26,54690
2014-02-17,27,45157
2014-02-17,28,53986
2014-02-17,29,23866
2014-02-17,30,30784
2014-02-17,31,17155
2014-02-17,41,229866
2014-02-17,42,22364
2014-02-17,43,29989
2014-02-17,44,43867
2014-02-17,45,35256
2014-02-17,46,32122
2014-02-17,47,46251
2014-02-17,48,58315
2014-02-17,49,8497
2014-02-17,99,897595
2014-02-18,11,106106
2014-02-18,26,38703
2014-02-18,27,30517
2014-02-18,28,35154
2014-02-18,29,16905
2014-02-18,30,20620
2014-02-18,31,11746
2014-02-18,41,150449
2014-02-18,42,14280
2014-02-18,43,20874
2014-02-18,44,29539
2014-02-18,45,23227
2014-02-18,46,23864
2014-02-18,47,31354
2014-02-18,48,39433
2014-02-18,49,6987
2014-02-18,99,600006
2014-02-19,11,107229
2014-02-19,26,39986
2014-02-19,27,30083
2014-02-19,28,34568
2014-02-19,29,16191
2014-02-19,30,20517
2014-02-19,31,12451
2014-02-19,41,148234
2014-02-19,42,14538
2014-02-19,43,19817
2014-02-19,44,28062
2014-02-19,45,22323
2014-02-19,46,22894
2014-02-19,47,30443
2014-02-19,48,39679
2014-02-19,49,6470
2014-02-19,99,593729
2014-02-20,11,105131
2014-02-20,26,39172
2014-02-20,27,29321
2014-02-20,28,33819
2014-02-20,29,16460
2014-02-20,30,20512
2014-02-20,31,12478
2014-02-20,41,146365
2014-02-20,42,14630
2014-02-20,43,20039
2014-02-20,44,28334
2014-02-20,45,22927
2014-02-20,46,22936
2014-02-20,47,31459
2014-02-20,48,39317
2014-02-20,49,6153
2014-02-20,99,589263
2014-02-21,11,107978
2014-02-21,26,40167
2014-02-21,27,29570
2014-02-21,28,33983
2014-02-21,29,16599
2014-02-21,30,20371
2014-02-21,31,12606
2014-02-21,41,147128
2014-02-21,42,14958
2014-02-21,43,20073
2014-02-21,44,28882
2014-02-21,45,23422
2014-02-21,46,23016
2014-02-21,47,31449
2014-02-21,48,40550
2014-02-21,49,6408
2014-02-21,99,597395
2014-02-22,11,92562
2014-02-22,26,34799
2014-02-22,27,26080
2014-02-22,28,29470
2014-02-22,29,15069
2014-02-22,30,18581
2014-02-22,31,11613
2014-02-22,41,129291
2014-02-22,42,11590
2014-02-22,43,17076
2014-02-22,44,23462
2014-02-22,45,18603
2014-02-22,46,18970
2014-02-22,47,25546
2014-02-22,48,34336
2014-02-22,49,5128
2014-02-22,99,512379
2014-02-23,11,9937
2014-02-23,26,5293
2014-02-23,27,3874
2014-02-23,28,4954
2014-02-23,29,3387
2014-02-23,30,4700
2014-02-23,31,2659
2014-02-23,41,24606
2014-02-23,42,1729
2014-02-23,43,4482
2014-02-23,44,5136
2014-02-23,45,3734
2014-02-23,46,5761
2014-02-23,47,4242
2014-02-23,48,6210
2014-02-23,49,2069
2014-02-23,99,92805
2014-02-24,11,140734
2014-02-24,26,53782
2014-02-24,27,38504
2014-02-24,28,43407
2014-02-24,29,22255
2014-02-24,30,26337
2014-02-24,31,18217
2014-02-24,41,190397
2014-02-24,42,19875
2014-02-24,43,26188
2014-02-24,44,37724
2014-02-24,45,31305
2014-02-24,46,31085
2014-02-24,47,42430
2014-02-24,48,54955
2014-02-24,49,8196
2014-02-24,99,785686
2014-02-25,11,90496
