날짜,시도지역코드,발생건수(건)
2014-01-23,44,2018
2014-01-23,45,1691
2014-01-23,46,2066
2014-01-23,47,2823
2014-01-23,48,3428
2014-01-23,49,476
2014-01-23,99,46775
2014-01-24,11,9915
2014-01-24,26,3539
2014-01-24,27,2893
2014-01-24,28,2956
2014-01-24,29,1509
2014-01-24,30,1725
2014-01-24,31,1105
2014-01-24,41,11497
2014-01-24,42,1724
2014-01-24,43,1707
2014-01-24,44,2268
2014-01-24,45,1874
2014-01-24,46,2276
2014-01-24,47,3022
2014-01-24,48,3826
2014-01-24,49,535
2014-01-24,99,52387
2014-01-25,11,7975
2014-01-25,26,2779
2014-01-25,27,2494
2014-01-25,28,2385
2014-01-25,29,1267
2014-01-25,30,1495
2014-01-25,31,920
2014-01-25,41,9516
2014-01-25,42,1259
2014-01-25,43,1377
2014-01-25,44,1917
2014-01-25,45,1442
2014-01-25,46,1828
2014-01-25,47,2378
2014-01-25,48,3007
2014-01-25,49,396
2014-01-25,99,42451
2014-01-26,11,397
2014-01-26,26,148
2014-01-26,27,67
2014-01-26,28,162
2014-01-26,29,54
2014-01-26,30,112
2014-01-26,31,92
2014-01-26,41,797
2014-01-26,42,39
2014-01-26,43,108
2014-01-26,44,134
2014-01-26,45,69
2014-01-26,46,127
2014-01-26,47,113
2014-01-26,48,142
2014-01-26,49,44
2014-01-26,99,2607
2014-01-27,11,12655
2014-01-27,26,4768
2014-01-27,27,3962
2014-01-27,28,3971
2014-01-27,29,1921
2014-01-27,30,2164
2014-01-27,31,1463
2014-01-27,41,15118
2014-01-27,42,2298
2014-01-27,43,2304
2014-01-27,44,3076
2014-01-27,45,2518
2014-01-27,46,3045
2014-01-27,47,4024
2014-01-27,48,5047
2014-01-27,49,657
2014-01-27,99,69011
2014-01-28,11,10565
2014-01-28,26,3885
2014-01-28,27,3236
2014-01-28,28,3336
2014-01-28,29,1631
2014-01-28,30,1893
2014-01-28,31,1211
2014-01-28,41,12608
2014-01-28,42,1986
2014-01-28,43,1871
2014-01-28,44,2530
2014-01-28,45,1999
2014-01-28,46,2511
2014-01-28,47,3341
2014-01-28,48,4234
2014-01-28,49,582
2014-01-28,99,57441
2014-01-29,11,13135
2014-01-29,26,4679
2014-01-29,27,3796
2014-01-29,28,4087
2014-01-29,29,1976
2014-01-29,30,2210
2014-01-29,31,1538
2014-01-29,41,15328
2014-01-29,42,2142
2014-01-29,43,2072
2014-01-29,44,2922
2014-01-29,45,2353
2014-01-29,46,2896
2014-01-29,47,3712
2014-01-29,48,5030
2014-01-29,49,674
2014-01-29,99,68572
2014-01-30,11,657
2014-01-30,26,368
2014-01-30,27,472
2014-01-30,28,259
2014-01-30,29,221
2014-01-30,30,253
2014-01-30,31,93
2014-01-30,41,1052
2014-01-30,42,207
2014-01-30,43,303
2014-01-30,44,376
2014-01-30,45,257
2014-01-30,46,559
2014-01-30,47,445
2014-01-30,48,513
2014-01-30,49,91
2014-01-30,99,6128
2014-01-31,11,127
2014-01-31,26,31
2014-01-31,27,22
2014-01-31,28,54
2014-01-31,29,24
2014-01-31,30,80
2014-01-31,31,14
2014-01-31,41,147
2014-01-31,42,18
2014-01-31,43,86
2014-01-31,44,41
2014-01-31,45,39
2014-01-31,46,49
2014-01-31,47,36
2014-01-31,48,50
2014-01-31,49,9
2014-01-31,99,827
2014-02-01,11,430
2014-02-01,26,128
2014-02-01,27,123
2014-02-01,28,190
2014-02-01,29,73
2014-02-01,30,192
2014-02-01,31,55
2014-02-01,41,796
2014-02-01,42,74
2014-02-01,43,158
2014-02-01,44,228
2014-02-01,45,148
2014-02-01,46,221
2014-02-01,47,158
2014-02-01,48,210
2014-02-01,49,39
2014-02-01,99,3223
2014-02-02,11,456
2014-02-02,26,178
2014-02-02,27,84
2014-02-02,28,214
2014-02-02,29,46
2014-02-02,30,138
2014-02-02,31,87
2014-02-02,41,882
2014-02-02,42,60
2014-02-02,43,159
2014-02-02,44,194
2014-02-02,45,76
2014-02-02,46,139
2014-02-02,47,135
2014-02-02,48,152
2014-02-02,49,24
2014-02-02,99,3025
2014-02-03,11,15997
2014-02-03,26,5844
2014-02-03,27,4808
2014-02-03,28,4823
2014-02-03,29,2616
2014-02-03,30,2740
2014-02-03,31,1833
2014-02-03,41,19069
2014-02-03,42,2704
2014-02-03,43,2777
2014-02-03,44,3754
2014-02-03,45,2961
2014-02-03,46,3599
2014-02-03,47,4774
2014-02-03,48,6150
2014-02-03,49,808
2014-02-03,99,85284
2014-02-04,11,9616
2014-02-04,26,3460
2014-02-04,27,2853
2014-02-04,28,2980
2014-02-04,29,1491
2014-02-04,30,1605
2014-02-04,31,1100
2014-02-04,41,11498
2014-02-04,42,1725
2014-02-04,43,1567
2014-02-04,44,2190
2014-02-04,45,1730
2014-02-04,46,2249
2014-02-04,47,2958
2014-02-04,48,3610
2014-02-04,49,475
2014-02-04,99,51117
2014-02-05,11,9493
2014-02-05,26,3264
2014-02-05,27,2702
2014-02-05,28,2872
2014-02-05,29,1368
2014-02-05,30,1674
2014-02-05,31,1077
2014-02-05,41,11097
2014-02-05,42,1572
2014-02-05,43,1549
2014-02-05,44,2003
2014-02-05,45,1618
2014-02-05,46,2147
2014-02-05,47,2775
2014-02-05,48,3538
2014-02-05,49,468
2014-02-05,99,49229
2014-02-06,11,9564
2014-02-06,26,3173
2014-02-06,27,2431
2014-02-06,28,2995
2014-02-06,29,1461
2014-02-06,30,1578
2014-02-06,31,989
2014-02-06,41,11399
2014-02-06,42,1533
2014-02-06,43,1601
2014-02-06,44,2216
2014-02-06,45,1774
2014-02-06,46,1961
2014-02-06,47,2803
2014-02-06,48,3375
2014-02-06,49,429
2014-02-06,99,49299
2014-02-07,11,10384
2014-02-07,26,3209
2014-02-07,27,2911
2014-02-07,28,3151
2014-02-07,29,1600
2014-02-07,30,1835
2014-02-07,31,1039
2014-02-07,41,12078
2014-02-07,42,1473
2014-02-07,43,1733
2014-02-07,44,2260
2014-02-07,45,1926
2014-02-07,46,2266
2014-02-07,47,2777
2014-02-07,48,3632
2014-02-07,49,539
2014-02-07,99,52833
2014-02-08,11,8593
2014-02-08,26,2930
2014-02-08,27,2608
2014-02-08,28,2726
2014-02-08,29,1344
2014-02-08,30,1553
2014-02-08,31,922
2014-02-08,41,10255
2014-02-08,42,1081
2014-02-08,43,1371
2014-02-08,44,1945
2014-02-08,45,1519
2014-02-08,46,1745
2014-02-08,47,2540
2014-02-08,48,3227
2014-02-08,49,394
2014-02-08,99,44773
2014-02-09,11,408
2014-02-09,26,139
2014-02-09,27,61
2014-02-09,28,144
2014-02-09,29,45
2014-02-09,30,158
2014-02-09,31,72
2014-02-09,41,805
2014-02-09,42,43
2014-02-09,43,95
2014-02-09,44,142
2014-02-09,45,70
2014-02-09,46,110
2014-02-09,47,65
2014-02-09,48,124
2014-02-09,49,25
2014-02-09,99,2506
2014-02-10,11,12291
2014-02-10,26,3902
2014-02-10,27,3467
2014-02-10,28,3816
2014-02-10,29,1855
2014-02-10,30,2102
2014-02-10,31,861
2014-02-10,41,14379
2014-02-10,42,1644
2014-02-10,43,2143
2014-02-10,44,2899
2014-02-10,45,2353
2014-02-10,46,2914
2014-02-10,47,3155
2014-02-10,48,4592
2014-02-10,49,579
2014-02-10,99,62975
2014-02-11,11,9374
2014-02-11,26,2981
2014-02-11,27,2782
2014-02-11,28,2891
2014-02-11,29,1459
2014-02-11,30,1646
2014-02-11,31,927
2014-02-11,41,11066
2014-02-11,42,1448
2014-02-11,43,1575
2014-02-11,44,2124
2014-02-11,45,1748
2014-02-11,46,2061
2014-02-11,47,2626
2014-02-11,48,3411
2014-02-11,49,496
2014-02-11,99,48630
2014-02-12,11,8601
2014-02-12,26,3061
2014-02-12,27,2441
2014-02-12,28,2612
2014-02-12,29,1383
2014-02-12,30,1538
2014-02-12,31,948
2014-02-12,41,10243
2014-02-12,42,1499
2014-02-12,43,1429
2014-02-12,44,1953
2014-02-12,45,1509
2014-02-12,46,2041
2014-02-12,47,2543
2014-02-12,48,3334
2014-02-12,49,474
2014-02-12,99,45622
2014-02-13,11,8347
2014-02-13,26,2836
2014-02-13,27,2228
2014-02-13,28,2536
2014-02-13,29,1339
2014-02-13,30,1390
2014-02-13,31,896
2014-02-13,41,9698
2014-02-13,42,1138
2014-02-13,43,1319
2014-02-13,44,1800
2014-02-13,45,1591
2014-02-13,46,1968
2014-02-13,47,2394
2014-02-13,48,3200
2014-02-13,49,492
2014-02-13,99,43189
2014-02-14,11,9271
2014-02-14,26,2970
2014-02-14,27,2521
2014-02-14,28,2687
2014-02-14,29,1381
2014-02-14,30,1579
2014-02-14,31,908
2014-02-14,41,10477
2014-02-14,42,1411
2014-02-14,43,1493
2014-02-14,44,2011
2014-02-14,45,1694
2014-02-14,46,2139
2014-02-14,47,2513
2014-02-14,48,3053
2014-02-14,49,499
2014-02-14,99,46618
2014-02-15,11,7706
2014-02-15,26,2515
2014-02-15,27,2322
2014-02-15,28,2489
2014-02-15,29,1240
2014-02-15,30,1399
2014-02-15,31,855
2014-02-15,41,9441
2014-02-15,42,1181
2014-02-15,43,1389
2014-02-15,44,1760
2014-02-15,45,1328
2014-02-15,46,1692
2014-02-15,47,2244
2014-02-15,48,2891
2014-02-15,49,373
2014-02-15,99,40841
2014-02-16,11,420
2014-02-16,26,162
2014-02-16,27,50
2014-02-16,28,177
2014-02-16,29,39
2014-02-16,30,117
2014-02-16,31,76
2014-02-16,41,822
2014-02-16,42,33
2014-02-16,43,109
2014-02-16,44,158
2014-02-16,45,51
2014-02-16,46,86
2014-02-16,47,93
2014-02-16,48,106
2014-02-16,49,38
2014-02-16,99,2538
2014-02-17,11,12363
2014-02-17,26,4162
2014-02-17,27,3468
2014-02-17,28,3855
2014-02-17,29,1925
2014-02-17,30,2093
2014-02-17,31,1266
2014-02-17,41,14874
2014-02-17,42,2153
2014-02-17,43,2139
2014-02-17,44,2815
2014-02-17,45,2530
2014-02-17,46,2815
2014-02-17,47,3765
2014-02-17,48,4408
2014-02-17,49,561
2014-02-17,99,65215
2014-02-18,11,9551
2014-02-18,26,3102
2014-02-18,27,2761
2014-02-18,28,2910
2014-02-18,29,1476
2014-02-18,30,1584
2014-02-18,31,985
2014-02-18,41,11336
2014-02-18,42,1495
2014-02-18,43,1557
2014-02-18,44,2123
2014-02-18,45,1857
2014-02-18,46,2190
2014-02-18,47,2738
2014-02-18,48,3530
2014-02-18,49,563
2014-02-18,99,49770
2014-02-19,11,8704
2014-02-19,26,2928
2014-02-19,27,2478
2014-02-19,28,2674
2014-02-19,29,1354
2014-02-19,30,1537
2014-02-19,31,915
2014-02-19,41,10372
2014-02-19,42,1558
2014-02-19,43,1504
2014-02-19,44,1974
2014-02-19,45,1658
2014-02-19,46,1991
2014-02-19,47,2607
2014-02-19,48,3333
2014-02-19,49,485
2014-02-19,99,46088
2014-02-20,11,8439
2014-02-20,26,2934
2014-02-20,27,2403
2014-02-20,28,2649
2014-02-20,29,1300
2014-02-20,30,1477
2014-02-20,31,953
2014-02-20,41,9953
2014-02-20,42,1350
2014-02-20,43,1423
2014-02-20,44,1914
2014-02-20,45,1653
2014-02-20,46,1995
2014-02-20,47,2566
2014-02-20,48,3295
2014-02-20,49,425
2014-02-20,99,44750
2014-02-21,11,9465
2014-02-21,26,3294
2014-02-21,27,2637
2014-02-21,28,2817
2014-02-21,29,1437
2014-02-21,30,1636
2014-02-21,31,961
2014-02-21,41,10741
2014-02-21,42,1590
2014-02-21,43,1527
2014-02-21,44,2197
2014-02-21,45,1733
2014-02-21,46,2157
2014-02-21,47,2885
2014-02-21,48,3560
2014-02-21,49,511
2014-02-21,99,49162
2014-02-22,11,7648
2014-02-22,26,2516
2014-02-22,27,2344
2014-02-22,28,2390
2014-02-22,29,1205
2014-02-22,30,1365
2014-02-22,31,760
2014-02-22,41,9285
2014-02-22,42,1130
2014-02-22,43,1239
2014-02-22,44,1739
2014-02-22,45,1388
2014-02-22,46,1624
2014-02-22,47,2281
2014-02-22,48,2860
2014-02-22,49,361
2014-02-22,99,40149
2014-02-23,11,355
2014-02-23,26,146
2014-02-23,27,70
2014-02-23,28,129
2014-02-23,29,42
2014-02-23,30,103
2014-02-23,31,76
2014-02-23,41,730
2014-02-23,42,46
2014-02-23,43,110
2014-02-23,44,160
2014-02-23,45,71
2014-02-23,46,104
2014-02-23,47,80
2014-02-23,48,162
2014-02-23,49,37
2014-02-23,99,2422
2014-02-24,11,12499
2014-02-24,26,4472
2014-02-24,27,3733
2014-02-24,28,3781
2014-02-24,29,2015
2014-02-24,30,2335
2014-02-24,31,1416
2014-02-24,41,14829
2014-02-24,42,2236
2014-02-24,43,2183
2014-02-24,44,3076
2014-02-24,45,2562
2014-02-24,46,3175
2014-02-24,47,3899
2014-02-24,48,4709
2014-02-24,49,721
2014-02-24,99,67660
2014-02-25,11,9912
2014-02-25,26,3550
2014-02-25,27,2935
2014-02-25,28,3032
2014-02-25,29,1519
2014-02-25,30,1641
2014-02-25,31,1074
2014-02-25,41,11107
2014-02-25,42,1667
2014-02-25,43,1637
2014-02-25,44,2223
2014-02-25,45,1837
2014-02-25,46,2364
2014-02-25,47,3111
2014-02-25,48,3729
2014-02-25,49,572
2014-02-25,99,51928
2014-02-26,11,8865
2014-02-26,26,2865
2014-02-26,27,2407
2014-02-26,28,2774
2014-02-26,29,1326
2014-02-26,30,1559
2014-02-26,31,937
2014-02-26,41,10900
2014-02-26,42,1603
2014-02-26,43,1571
2014-02-26,44,2121
2014-02-26,45,1743
2014-02-26,46,2110
2014-02-26,47,2667
2014-02-26,48,3160
2014-02-26,49,459
2014-02-26,99,47079
2014-02-27,11,8751
2014-02-27,26,3282
2014-02-27,27,2685
2014-02-27,28,2778
2014-02-27,29,1461
2014-02-27,30,1577
2014-02-27,31,1028
2014-02-27,41,10560
2014-02-27,42,1452
2014-02-27,43,1460
2014-02-27,44,2083
2014-02-27,45,1782
2014-02-27,46,2281
2014-02-27,47,2776
2014-02-27,48,3585
2014-02-27,49,528
2014-02-27,99,48084
2014-02-28,11,10161
2014-02-28,26,3530
2014-02-28,27,2875
2014-02-28,28,3056
2014-02-28,29,1556
2014-02-28,30,1773
2014-02-28,31,997
2014-02-28,41,11954
2014-02-28,42,1747
2014-02-28,43,1720
2014-02-28,44,2372
2014-02-28,45,1826
2014-02-28,46,2350
2014-02-28,47,3053
2014-02-28,48,3752
2014-02-28,49,542
2014-02-28,99,53279
2014-03-01,11,884
2014-03-01,26,703
2014-03-01,27,811
2014-03-01,28,427
2014-03-01,29,189
2014-03-01,30,357
2014-03-01,31,258
2014-03-01,41,1655
2014-03-01,42,286
2014-03-01,43,383
2014-03-01,44,594
2014-03-01,45,370
2014-03-01,46,666
2014-03-01,47,675
2014-03-01,48,738
2014-03-01,49,151
2014-03-01,99,9151
2014-03-02,11,375
2014-03-02,26,186
2014-03-02,27,53
2014-03-02,28,195
2014-03-02,29,38
2014-03-02,30,142
2014-03-02,31,69
2014-03-02,41,833
2014-03-02,42,44
2014-03-02,43,111
2014-03-02,44,172
2014-03-02,45,79
2014-03-02,46,108
2014-03-02,47,99
2014-03-02,48,155
2014-03-02,49,22
2014-03-02,99,2683
2014-03-03,11,13377
2014-03-03,26,4594
2014-03-03,27,3624
2014-03-03,28,3912
2014-03-03,29,2009
2014-03-03,30,2304
2014-03-03,31,1415
2014-03-03,41,15538
2014-03-03,42,2309
2014-03-03,43,2270
2014-03-03,44,3154
2014-03-03,45,2405
2014-03-03,46,3103
2014-03-03,47,3755
2014-03-03,48,4766
2014-03-03,49,638
2014-03-03,99,69204
2014-03-04,11,9793
2014-03-04,26,3453
2014-03-04,27,2738
2014-03-04,28,2949
2014-03-04,29,1367
2014-03-04,30,1636
2014-03-04,31,1012
2014-03-04,41,11387
2014-03-04,42,1705
2014-03-04,43,1596
2014-03-04,44,2179
2014-03-04,45,1724
2014-03-04,46,2214
2014-03-04,47,2623
2014-03-04,48,3423
2014-03-04,49,483
2014-03-04,99,50297
2014-03-05,11,8685
2014-03-05,26,3231
2014-03-05,27,2481
2014-03-05,28,2592
2014-03-05,29,1322
2014-03-05,30,1475
2014-03-05,31,946
2014-03-05,41,10499
2014-03-05,42,1369
2014-03-05,43,1465
2014-03-05,44,2066
2014-03-05,45,1620
2014-03-05,46,2198
2014-03-05,47,2611
2014-03-05,48,3422
2014-03-05,49,509
2014-03-05,99,46500
2014-03-06,11,8612
2014-03-06,26,3256
2014-03-06,27,2399
2014-03-06,28,2755
2014-03-06,29,1350
2014-03-06,30,1553
2014-03-06,31,943
2014-03-06,41,10435
2014-03-06,42,1411
2014-03-06,43,1416
2014-03-06,44,2048
2014-03-06,45,1685
2014-03-06,46,2082
2014-03-06,47,2581
2014-03-06,48,3250
2014-03-06,49,505
2014-03-06,99,46293
2014-03-07,11,10164
2014-03-07,26,3479
2014-03-07,27,2879
2014-03-07,28,2899
2014-03-07,29,1465
2014-03-07,30,1698
2014-03-07,31,1071
2014-03-07,41,11884
2014-03-07,42,1829
2014-03-07,43,1659
2014-03-07,44,2317
2014-03-07,45,1839
2014-03-07,46,2276
2014-03-07,47,3004
2014-03-07,48,3789
2014-03-07,49,542
2014-03-07,99,52808
2014-03-08,11,9694
2014-03-08,26,3416
2014-03-08,27,2903
2014-03-08,28,3122
2014-03-08,29,1674
2014-03-08,30,1837
2014-03-08,31,1077
2014-03-08,41,12164
2014-03-08,42,1589
2014-03-08,43,1749
2014-03-08,44,2268
2014-03-08,45,1725
2014-03-08,46,2186
2014-03-08,47,2830
2014-03-08,48,3747
2014-03-08,49,507
2014-03-08,99,52512
2014-03-09,11,442
2014-03-09,26,154
2014-03-09,27,70
2014-03-09,28,169
2014-03-09,29,66
2014-03-09,30,123
2014-03-09,31,86
2014-03-09,41,876
2014-03-09,42,55
2014-03-09,43,99
2014-03-09,44,191
2014-03-09,45,91
2014-03-09,46,127
2014-03-09,47,125
2014-03-09,48,144
2014-03-09,49,49
2014-03-09,99,2868
2014-03-10,11,10072
2014-03-10,26,2322
2014-03-10,27,2421
2014-03-10,28,2621
2014-03-10,29,1767
2014-03-10,30,1447
2014-03-10,31,992
2014-03-10,41,11239
2014-03-10,42,1253
2014-03-10,43,1440
2014-03-10,44,1667
2014-03-10,45,1933
2014-03-10,46,2003
2014-03-10,47,2604
2014-03-10,48,2782
2014-03-10,49,358
2014-03-10,99,46934
2014-03-11,11,11212
2014-03-11,26,4701
2014-03-11,27,3516
2014-03-11,28,3498
2014-03-11,29,1694
2014-03-11,30,1991
2014-03-11,31,1311
2014-03-11,41,13781
2014-03-11,42,2114
2014-03-11,43,2026
2014-03-11,44,2779
2014-03-11,45,2075
2014-03-11,46,2828
2014-03-11,47,3370
2014-03-11,48,4707
