성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
여자,1,34,0.107,2022-07-01 21:20:00,청주상당경찰서
여자,1,50,0.056,2022-07-01 21:20:00,천안서북경찰서
남자,1,66,0.183,2022-07-01 21:22:00,수원중부경찰서
여자,1,38,0.151,2022-07-01 21:23:00,양주경찰서
남자,1,57,0.087,2022-07-01 21:23:00,거제경찰서
여자,1,22,0.178,2022-07-01 21:24:00,속초경찰서
여자,1,45,0.098,2022-07-01 21:25:00,춘천경찰서
남자,1,60,0.065,2022-07-01 21:28:00,광주남부경찰서
남자,1,62,0.062,2022-07-01 21:28:00,예산경찰서
남자,1,33,0.034,2022-07-01 21:30:00,광주북부경찰서
남자,1,46,0.106,2022-07-01 21:32:00,광주광산경찰서
여자,1,40,0.046,2022-07-01 21:33:00,진주경찰서
남자,1,59,0.057,2022-07-01 21:36:00,진주경찰서
남자,1,29,0.055,2022-07-01 21:37:00,원주경찰서
남자,1,61,0.04,2022-07-01 21:38:00,울산남부경찰서
여자,1,50,0.064,2022-07-01 21:40:00,예산경찰서
여자,1,38,0.141,2022-07-01 21:40:00,울산남부경찰서
남자,1,52,0.072,2022-07-01 21:40:00,용인동부경찰서
여자,1,49,0.113,2022-07-01 21:40:00,대구성서경찰서
여자,1,35,0.097,2022-07-01 21:42:00,부산기장경찰서
남자,1,52,0.139,2022-07-01 21:42:00,춘천경찰서
여자,1,52,0.099,2022-07-01 21:43:00,용인서부경찰서
남자,1,48,0.057,2022-07-01 21:44:00,대구강북경찰서
남자,1,62,0.049,2022-07-01 21:45:00,광주북부경찰서
남자,1,36,0.074,2022-07-01 21:47:00,광주서부경찰서
남자,1,38,0.206,2022-07-01 21:49:00,화성동탄경찰서
남자,1,35,0.244,2022-07-01 21:49:00,제천경찰서
남자,1,49,0.124,2022-07-01 21:49:00,광주광산경찰서
남자,1,27,0.089,2022-07-01 21:51:00,광양경찰서
남자,1,62,0.17,2022-07-01 21:53:00,완주경찰서
남자,1,51,0.14,2022-07-01 21:54:00,천안동남경찰서
남자,1,60,0.115,2022-07-01 21:55:00,대구서부경찰서
남자,1,65,0.11,2022-07-01 21:57:00,안양만안경찰서
남자,1,41,0.093,2022-07-01 21:59:00,수원중부경찰서
남자,1,32,0.072,2022-07-01 21:59:00,광주서부경찰서
남자,1,32,0.124,2022-07-01 22:00:00,부산강서경찰서
여자,1,37,0.082,2022-07-01 22:00:00,부산기장경찰서
남자,1,40,0.07,2022-07-01 22:01:00,평택경찰서
남자,1,44,0.068,2022-07-01 22:02:00,제주서부경찰서
여자,1,49,0.04,2022-07-01 22:02:00,대구강북경찰서
남자,1,28,0.082,2022-07-01 22:04:00,울산남부경찰서
남자,1,52,0.045,2022-07-01 22:07:00,김포경찰서
남자,1,59,0.05,2022-07-01 22:08:00,진해경찰서
남자,1,31,0.114,2022-07-01 22:09:00,서울종암경찰서
남자,1,54,0.046,2022-07-01 22:10:00,대구동부경찰서
남자,1,50,0.046,2022-07-01 22:11:00,파주경찰서
여자,1,53,0.134,2022-07-01 22:11:00,부산강서경찰서
남자,1,59,0.162,2022-07-01 22:13:00,인천논현경찰서
남자,1,44,0.038,2022-07-01 22:13:00,김포경찰서
남자,1,48,0.152,2022-07-01 22:14:00,서울강남경찰서
남자,1,59,0.036,2022-07-01 22:14:00,파주경찰서
남자,1,28,0.037,2022-07-01 22:15:00,서울강동경찰서
남자,1,31,0.042,2022-07-01 22:16:00,의왕경찰서
남자,1,49,0.097,2022-07-01 22:18:00,서울강남경찰서
남자,1,67,0.123,2022-07-01 22:20:00,완도경찰서
여자,1,45,0.097,2022-07-01 22:20:00,화성서부경찰서
남자,1,39,0.056,2022-07-01 22:26:00,통영경찰서
남자,1,52,0.063,2022-07-01 22:28:00,안양동안경찰서
남자,1,32,0.129,2022-07-01 22:28:00,서울관악경찰서
남자,1,29,0.103,2022-07-01 22:31:00,청주흥덕경찰서
여자,1,30,0.174,2022-07-01 22:32:00,성남중원경찰서
