날짜,시도지역코드,발생건수(건)
2014-01-28,31,1262
2014-01-28,41,11979
2014-01-28,42,1433
2014-01-28,43,1872
2014-01-28,44,2297
2014-01-28,45,2376
2014-01-28,46,2725
2014-01-28,47,2967
2014-01-28,48,3434
2014-01-28,49,704
2014-01-28,99,52812
2014-01-29,11,12765
2014-01-29,26,4155
2014-01-29,27,3446
2014-01-29,28,4468
2014-01-29,29,2335
2014-01-29,30,1792
2014-01-29,31,1684
2014-01-29,41,16195
2014-01-29,42,1685
2014-01-29,43,2126
2014-01-29,44,2849
2014-01-29,45,2725
2014-01-29,46,2998
2014-01-29,47,3589
2014-01-29,48,4438
2014-01-29,49,664
2014-01-29,99,67939
2014-01-30,11,1429
2014-01-30,26,607
2014-01-30,27,862
2014-01-30,28,580
2014-01-30,29,553
2014-01-30,30,357
2014-01-30,31,192
2014-01-30,41,2107
2014-01-30,42,262
2014-01-30,43,508
2014-01-30,44,606
2014-01-30,45,630
2014-01-30,46,774
2014-01-30,47,853
2014-01-30,48,707
2014-01-30,49,170
2014-01-30,99,11201
2014-01-31,11,365
2014-01-31,26,54
2014-01-31,27,44
2014-01-31,28,91
2014-01-31,29,84
2014-01-31,30,85
2014-01-31,31,49
2014-01-31,41,558
2014-01-31,42,76
2014-01-31,43,105
2014-01-31,44,84
2014-01-31,45,88
2014-01-31,46,149
2014-01-31,47,85
2014-01-31,48,107
2014-01-31,49,34
2014-01-31,99,2058
2014-02-01,11,1551
2014-02-01,26,559
2014-02-01,27,527
2014-02-01,28,497
2014-02-01,29,423
2014-02-01,30,249
2014-02-01,31,209
2014-02-01,41,2148
2014-02-01,42,229
2014-02-01,43,421
2014-02-01,44,520
2014-02-01,45,614
2014-02-01,46,826
2014-02-01,47,585
2014-02-01,48,661
2014-02-01,49,103
2014-02-01,99,10126
2014-02-02,11,1161
2014-02-02,26,231
2014-02-02,27,349
2014-02-02,28,534
2014-02-02,29,244
2014-02-02,30,155
2014-02-02,31,158
2014-02-02,41,2146
2014-02-02,42,152
2014-02-02,43,223
2014-02-02,44,320
2014-02-02,45,315
2014-02-02,46,471
2014-02-02,47,337
2014-02-02,48,229
2014-02-02,49,76
2014-02-02,99,7103
2014-02-03,11,14218
2014-02-03,26,4440
2014-02-03,27,3754
2014-02-03,28,5163
2014-02-03,29,2600
2014-02-03,30,2030
2014-02-03,31,1876
2014-02-03,41,17987
2014-02-03,42,2195
2014-02-03,43,2621
2014-02-03,44,3533
2014-02-03,45,3280
2014-02-03,46,3668
2014-02-03,47,4176
2014-02-03,48,5134
2014-02-03,49,957
2014-02-03,99,77646
2014-02-04,11,7747
2014-02-04,26,2682
2014-02-04,27,2235
2014-02-04,28,2850
2014-02-04,29,1494
2014-02-04,30,1223
2014-02-04,31,1072
2014-02-04,41,9685
2014-02-04,42,1238
2014-02-04,43,1491
2014-02-04,44,2008
2014-02-04,45,1929
2014-02-04,46,2199
2014-02-04,47,2477
