날짜,시도지역코드,발생건수(건)
2014-01-21,30,1041
2014-01-21,31,771
2014-01-21,41,7438
2014-01-21,42,983
2014-01-21,43,926
2014-01-21,44,1343
2014-01-21,45,1464
2014-01-21,46,1255
2014-01-21,47,2228
2014-01-21,48,2469
2014-01-21,49,548
2014-01-21,99,34616
2014-01-22,11,7217
2014-01-22,26,2618
2014-01-22,27,2321
2014-01-22,28,1710
2014-01-22,29,982
2014-01-22,30,1145
2014-01-22,31,745
2014-01-22,41,7877
2014-01-22,42,996
2014-01-22,43,1088
2014-01-22,44,1599
2014-01-22,45,1806
2014-01-22,46,1419
2014-01-22,47,2314
2014-01-22,48,2638
2014-01-22,49,499
2014-01-22,99,36984
2014-01-23,11,7243
2014-01-23,26,2637
2014-01-23,27,2328
2014-01-23,28,1624
2014-01-23,29,935
2014-01-23,30,1142
2014-01-23,31,789
2014-01-23,41,7990
2014-01-23,42,1164
2014-01-23,43,1095
2014-01-23,44,1645
2014-01-23,45,1894
2014-01-23,46,1459
2014-01-23,47,2446
2014-01-23,48,2587
2014-01-23,49,554
2014-01-23,99,37546
2014-01-24,11,7999
2014-01-24,26,2886
2014-01-24,27,2468
2014-01-24,28,1692
2014-01-24,29,1049
2014-01-24,30,1201
2014-01-24,31,805
2014-01-24,41,8608
2014-01-24,42,1229
2014-01-24,43,1263
2014-01-24,44,1819
2014-01-24,45,2031
2014-01-24,46,1530
2014-01-24,47,2599
2014-01-24,48,2847
2014-01-24,49,597
2014-01-24,99,40641
2014-01-25,11,5818
2014-01-25,26,2146
2014-01-25,27,1865
2014-01-25,28,1329
2014-01-25,29,810
2014-01-25,30,1013
2014-01-25,31,649
2014-01-25,41,6822
2014-01-25,42,792
2014-01-25,43,929
2014-01-25,44,1264
2014-01-25,45,1292
2014-01-25,46,1135
2014-01-25,47,1797
2014-01-25,48,2054
2014-01-25,49,416
2014-01-25,99,30140
2014-01-26,11,234
2014-01-26,26,59
2014-01-26,27,54
2014-01-26,28,61
2014-01-26,29,47
2014-01-26,30,49
2014-01-26,31,40
2014-01-26,41,381
2014-01-26,42,34
2014-01-26,43,57
2014-01-26,44,62
2014-01-26,45,58
2014-01-26,46,50
2014-01-26,47,58
2014-01-26,48,80
2014-01-26,49,41
2014-01-26,99,1365
2014-01-27,11,10184
2014-01-27,26,3615
2014-01-27,27,3231
2014-01-27,28,2435
2014-01-27,29,1274
2014-01-27,30,1593
2014-01-27,31,1085
2014-01-27,41,11301
2014-01-27,42,1667
2014-01-27,43,1537
2014-01-27,44,2283
2014-01-27,45,2623
2014-01-27,46,2095
2014-01-27,47,3317
2014-01-27,48,3739
2014-01-27,49,839
2014-01-27,99,52832
2014-01-28,11,8408
2014-01-28,26,3011
2014-01-28,27,2617
2014-01-28,28,1799
2014-01-28,29,1036
2014-01-28,30,1258
2014-01-28,31,860
2014-01-28,41,9255
2014-01-28,42,1315
2014-01-28,43,1224
2014-01-28,44,1871
2014-01-28,45,2100
2014-01-28,46,1580
2014-01-28,47,2679
2014-01-28,48,2847
2014-01-28,49,725
2014-01-28,99,42597
2014-01-29,11,10009
2014-01-29,26,3249
2014-01-29,27,3060
2014-01-29,28,2115
2014-01-29,29,1190
2014-01-29,30,1402
2014-01-29,31,1068
2014-01-29,41,10754
2014-01-29,42,1354
2014-01-29,43,1368
2014-01-29,44,1985
2014-01-29,45,2170
2014-01-29,46,1781
2014-01-29,47,2982
2014-01-29,48,3146
2014-01-29,49,730
2014-01-29,99,48371
2014-01-30,11,558
2014-01-30,26,272
2014-01-30,27,479
2014-01-30,28,191
2014-01-30,29,157
2014-01-30,30,177
2014-01-30,31,97
2014-01-30,41,722
2014-01-30,42,122
2014-01-30,43,125
2014-01-30,44,189
2014-01-30,45,305
2014-01-30,46,301
2014-01-30,47,333
2014-01-30,48,340
2014-01-30,49,90
2014-01-30,99,4461
2014-01-31,11,173
2014-01-31,26,46
2014-01-31,27,31
2014-01-31,28,42
2014-01-31,29,25
2014-01-31,30,46
2014-01-31,31,23
2014-01-31,41,187
2014-01-31,42,15
2014-01-31,43,40
2014-01-31,44,26
2014-01-31,45,60
2014-01-31,46,44
2014-01-31,47,28
2014-01-31,48,52
2014-01-31,49,14
2014-01-31,99,852
2014-02-01,11,416
2014-02-01,26,103
2014-02-01,27,112
2014-02-01,28,113
2014-02-01,29,92
2014-02-01,30,72
2014-02-01,31,70
2014-02-01,41,609
2014-02-01,42,51
2014-02-01,43,76
2014-02-01,44,126
2014-02-01,45,142
2014-02-01,46,132
2014-02-01,47,90
2014-02-01,48,154
2014-02-01,49,61
2014-02-01,99,2420
2014-02-02,11,284
2014-02-02,26,56
2014-02-02,27,90
2014-02-02,28,95
2014-02-02,29,48
2014-02-02,30,45
2014-02-02,31,35
2014-02-02,41,459
2014-02-02,42,33
2014-02-02,43,44
2014-02-02,44,66
2014-02-02,45,53
2014-02-02,46,77
2014-02-02,47,66
2014-02-02,48,78
2014-02-02,49,35
2014-02-02,99,1566
2014-02-03,11,11418
2014-02-03,26,3990
2014-02-03,27,3397
2014-02-03,28,2361
2014-02-03,29,1495
2014-02-03,30,1791
2014-02-03,31,1245
2014-02-03,41,13212
2014-02-03,42,1737
2014-02-03,43,1892
2014-02-03,44,2632
2014-02-03,45,2908
2014-02-03,46,2242
2014-02-03,47,3769
2014-02-03,48,4129
2014-02-03,49,898
2014-02-03,99,59136
2014-02-04,11,7589
2014-02-04,26,2528
2014-02-04,27,2241
2014-02-04,28,1631
2014-02-04,29,1004
2014-02-04,30,1145
2014-02-04,31,783
2014-02-04,41,8508
2014-02-04,42,1289
2014-02-04,43,1193
2014-02-04,44,1670
2014-02-04,45,2052
2014-02-04,46,1381
2014-02-04,47,2418
2014-02-04,48,2558
2014-02-04,49,604
2014-02-04,99,38601
2014-02-05,11,7697
2014-02-05,26,2611
2014-02-05,27,2174
2014-02-05,28,1696
2014-02-05,29,930
2014-02-05,30,1198
2014-02-05,31,796
2014-02-05,41,8626
2014-02-05,42,1124
2014-02-05,43,1198
2014-02-05,44,1753
2014-02-05,45,1962
2014-02-05,46,1487
2014-02-05,47,2385
2014-02-05,48,2619
2014-02-05,49,574
2014-02-05,99,38836
2014-02-06,11,7814
2014-02-06,26,2477
2014-02-06,27,2159
2014-02-06,28,1765
2014-02-06,29,1029
2014-02-06,30,1246
2014-02-06,31,731
2014-02-06,41,8794
2014-02-06,42,1254
2014-02-06,43,1217
2014-02-06,44,1746
2014-02-06,45,2000
2014-02-06,46,1367
2014-02-06,47,2437
2014-02-06,48,2408
2014-02-06,49,529
2014-02-06,99,38985
2014-02-07,11,8191
2014-02-07,26,2331
2014-02-07,27,2161
2014-02-07,28,1836
2014-02-07,29,1099
2014-02-07,30,1235
2014-02-07,31,720
2014-02-07,41,8961
2014-02-07,42,1064
2014-02-07,43,1322
2014-02-07,44,1787
2014-02-07,45,2152
2014-02-07,46,1653
2014-02-07,47,2406
2014-02-07,48,2645
2014-02-07,49,594
2014-02-07,99,40167
2014-02-08,11,6330
2014-02-08,26,1971
2014-02-08,27,1913
2014-02-08,28,1383
2014-02-08,29,844
2014-02-08,30,1103
2014-02-08,31,645
2014-02-08,41,7401
2014-02-08,42,691
2014-02-08,43,1054
2014-02-08,44,1405
2014-02-08,45,1512
2014-02-08,46,1133
2014-02-08,47,1877
2014-02-08,48,2141
2014-02-08,49,428
2014-02-08,99,31839
2014-02-09,11,231
2014-02-09,26,53
